vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02513,3875,56,231,123,410,4285
HG02138,3923,90,184,88,362,4285
HG02075,3515,658,105,7,770,4285
HG02031,3796,417,59,13,489,4285
HG02084,4061,104,103,17,224,4285
HG02047,3994,56,232,3,291,4285
HG01597,3980,226,79,0,305,4285
HG01849,4066,77,51,91,219,4285
HG02023,3841,86,310,48,444,4285
HG01846,3689,302,282,12,596,4285
HG02081,4035,128,116,6,250,4285
HG01599,3651,388,173,73,634,4285
HG01866,3837,102,346,0,448,4285
HG02064,3548,181,532,24,737,4285
HG02069,4034,139,46,66,251,4285
HG02087,3597,328,345,15,688,4285
HG02017,4044,60,158,23,241,4285
HG01864,3598,115,480,92,687,4285
HG01868,4032,101,145,7,253,4285
HG01596,4114,47,120,4,171,4285
HG02072,4032,152,93,8,253,4285
HG02079,4110,70,82,23,175,4285
HG01600,3987,177,119,2,298,4285
HG02140,3798,375,103,9,487,4285
HG01841,3842,52,278,113,443,4285
HG02020,4078,110,89,8,207,4285
HG01878,3659,319,286,21,626,4285
HG02085,3960,202,119,4,325,4285
HG01598,4058,152,49,26,227,4285
HG01872,3707,118,440,20,578,4285
HG02073,3783,227,117,158,502,4285
HG01845,3414,405,428,38,871,4285
HG02032,3623,149,446,67,662,4285
HG02088,3807,362,109,7,478,4285
HG01840,3966,221,94,4,319,4285
HG01855,3863,187,234,1,422,4285
HG02050,3940,139,203,3,345,4285
HG01844,4061,127,91,6,224,4285
HG02067,3803,366,97,19,482,4285
HG02133,3765,215,303,2,520,4285
HG02127,3462,145,640,38,823,4285
HG02512,3895,214,167,9,390,4285
HG02040,3811,264,103,107,474,4285
HG01859,3847,198,196,44,438,4285
HG02078,3598,346,336,5,687,4285
HG02070,3835,140,305,5,450,4285
HG02029,4056,80,133,16,229,4285
HG02116,3674,234,346,31,611,4285
HG01842,3560,547,171,7,725,4285
HG01867,3896,247,127,15,389,4285
HG02060,4098,103,80,4,187,4285
HG01843,3918,116,156,95,367,4285
HG02028,3763,274,243,5,522,4285
HG01861,4111,39,33,102,174,4285
HG01869,3676,420,165,24,609,4285
HG01865,4055,121,93,16,230,4285
HG01848,3986,109,180,10,299,4285
HG02048,3618,203,402,62,667,4285
HG02130,3994,222,69,0,291,4285
HG01595,4003,96,168,18,282,4285
HG01860,3884,302,78,21,401,4285
HG01853,3809,265,94,117,476,4285
HG02139,3986,95,174,30,299,4285
HG02121,3904,136,210,35,381,4285
HG01858,3522,170,581,12,763,4285
HG02058,3660,72,529,24,625,4285
HG02076,3844,72,362,7,441,4285
HG02131,3627,403,76,179,658,4285
HG02522,3992,86,202,5,293,4285
HG02019,3601,576,103,5,684,4285
HG01851,3858,330,86,11,427,4285
HG02016,3647,171,316,151,638,4285
HG01874,3727,148,410,0,558,4285
HG02057,3932,137,213,3,353,4285
HG02521,3726,103,428,28,559,4285
HG02035,3906,112,160,107,379,4285
HG02025,3546,187,209,343,739,4285
HG02128,4074,110,95,6,211,4285
HG01862,3739,322,125,99,546,4285
HG02134,3873,101,291,20,412,4285
HG02082,3931,99,162,93,354,4285
HG02122,3879,268,100,38,406,4285
HG01870,3907,314,59,5,378,4285
HG02136,3965,218,92,10,320,4285
HG01852,3792,85,364,44,493,4285
HG02137,3596,626,58,5,689,4285
HG01850,3751,420,108,6,534,4285
HG01857,3849,125,306,5,436,4285
HG02061,4005,170,97,13,280,4285
HG02142,3764,110,407,4,521,4285
HG01863,3888,55,328,14,397,4285
HG02026,3888,94,279,24,397,4285
HG01871,3753,175,323,34,532,4285
HG02141,3845,100,334,6,440,4285
HG01873,4061,167,38,19,224,4285
HG02049,3881,43,346,15,404,4285
HG02086,4016,184,79,6,269,4285
HG02113,4112,109,38,26,173,4285
HG01847,4081,163,35,6,204,4285
