vn_genome_ids,c00,c10,c01,c11,c1s,c_sum
HG02513,194,71,7,3,81,275
HG02138,261,6,6,2,14,275
HG02075,149,22,80,24,126,275
HG02031,200,3,69,3,75,275
HG02084,176,51,26,22,99,275
HG02047,198,4,71,2,77,275
HG01597,197,71,4,3,78,275
HG01849,223,4,45,3,52,275
HG02023,198,70,4,3,77,275
HG01846,179,49,25,22,96,275
HG02081,261,7,5,2,14,275
HG01599,198,71,3,3,77,275
HG01866,225,44,4,2,50,275
HG02064,193,73,6,3,82,275
HG02069,175,26,52,22,100,275
HG02087,226,2,45,2,49,275
HG02017,263,6,4,2,12,275
HG01864,194,71,6,4,81,275
HG01868,224,45,4,2,51,275
HG01596,263,0,4,8,12,275
HG02072,195,72,5,3,80,275
HG02079,262,6,5,2,13,275
HG01600,192,73,7,3,83,275
HG02140,198,3,71,3,77,275
HG01841,221,47,4,3,54,275
HG02020,150,22,79,24,125,275
HG01878,227,6,39,3,48,275
HG02085,173,53,27,22,102,275
HG01598,199,1,2,73,76,275
HG01872,191,75,6,3,84,275
HG02073,192,74,6,3,83,275
HG01845,224,4,0,47,51,275
HG02032,178,50,25,22,97,275
HG02088,223,44,5,3,52,275
HG01840,199,3,2,71,76,275
HG01855,221,45,5,4,54,275
HG02050,223,5,1,46,52,275
HG01844,197,69,5,4,78,275
HG02067,197,3,73,2,78,275
HG02133,200,68,4,3,75,275
HG02127,263,5,5,2,12,275
HG02512,175,25,53,22,100,275
HG02040,224,2,3,46,51,275
HG01859,222,5,45,3,53,275
HG02078,221,43,8,3,54,275
HG02070,262,9,1,3,13,275
HG02029,221,44,6,4,54,275
HG02116,197,3,3,72,78,275
HG01842,225,1,3,46,50,275
HG01867,173,54,26,22,102,275
HG02060,176,51,26,22,99,275
HG01843,223,45,4,3,52,275
HG02028,225,4,43,3,50,275
HG01861,261,5,3,6,14,275
HG01869,222,45,5,3,53,275
HG01865,195,5,72,3,80,275
HG01848,173,55,25,22,102,275
HG02048,175,51,27,22,100,275
HG02130,224,45,3,3,51,275
HG01595,175,27,51,22,100,275
HG01860,148,80,23,24,127,275
HG01853,263,1,9,2,12,275
HG02139,265,2,2,6,10,275
HG02121,175,27,51,22,100,275
HG01858,228,0,1,46,47,275
HG02058,266,1,2,6,9,275
HG02076,222,43,6,4,53,275
HG02131,176,53,24,22,99,275
HG02522,220,46,6,3,55,275
HG02019,223,4,45,3,52,275
HG01851,148,79,24,24,127,275
HG02016,222,47,4,2,53,275
HG01874,191,6,75,3,84,275
HG02057,223,45,4,3,52,275
HG02521,196,5,71,3,79,275
HG02035,176,50,27,22,99,275
HG02025,174,52,27,22,101,275
HG02128,226,1,46,2,49,275
HG01862,174,52,27,22,101,275
HG02134,178,50,25,22,97,275
HG02082,176,24,53,22,99,275
HG02122,171,4,98,2,104,275
HG01870,261,2,5,7,14,275
HG02136,225,4,43,3,50,275
HG01852,202,1,1,71,73,275
HG02137,174,52,27,22,101,275
HG01850,224,3,2,46,51,275
HG01857,224,2,3,46,51,275
HG02061,173,54,26,22,102,275
HG02142,176,26,51,22,99,275
HG01863,223,43,5,4,52,275
HG02026,177,26,50,22,98,275
HG01871,198,4,70,3,77,275
HG02141,260,5,4,6,15,275
HG01873,226,43,4,2,49,275
HG02049,192,9,71,3,83,275
HG02086,198,3,72,2,77,275
HG02113,260,5,8,2,15,275
HG01847,197,71,4,3,78,275
